	no match	probability was too low
а.ворон.приказн.избы	А.Ворон.приказн.избы	100
а.горч	А.Горч.	100
а.дедил.воев.избы	no match	probability was too low
а.зап.рос	А.Зап.Рос. I	95
а.ивер.м	А.Ивер.м.	100
а.ивер.м.(грамотка старца тита)	no match	probability was too low
а.ивер.м.досмотр	no match	probability was too low
а.ивер.м.отп	no match	probability was too low
а.ивер.м.отп.петра апраксина	no match	probability was too low
а.ивер.м.отп.служки x.кирилова архим.филофею	no match	probability was too low
а.ивер.м.отп.старца печура селивестра	no match	probability was too low
а.ивер.м.приемн.росп.г.ольшанска	no match	probability was too low
а.ивер.м.роспись	no match	probability was too low
а.ивер.м.чел	no match	probability was too low
а.ивер.м.чел.аарону	no match	probability was too low
а.ивер.м.челобитная	no match	probability was too low
а.ивер.м.челобитная	no match	probability was too low
а.ивер.м., гр.старца архимандриту	no match	probability was too low
а.ивер.м.	А.Ивер.м.	100
а.ипат.м	А.Ипат.м.	100
а.ка даш.сл	А.Кадаш.сл.	95
а.кадаш.сл	А.Кадаш.сл.	100
а.кашин	А.Кашин. I	95
а.кир-б.м	А.Кир.-Б.м.	95
а.кир.–б.м	А.Кир.-Б.м.	100
а.кир.-б.м	А.Кир.-Б.м.	100
а.кир.-б.м	А.Кир.-Б.м.	100
а.кунгур	А.кунгур.	100
а.кунгур.з.избы	А.кунгур.з.избы	100
а.кунгур.з.избы	А.кунгур.з.избы	100
а.лих	А.Лих.	100
а.лих.(деловая)	no match	probability was too low
а.лих.чел.белавинского	no match	probability was too low
а.моск	А.Моск.	100
а.моск.печ.дв	А.Моск.печ.дв.	100
а.моск.печ.двор	no match	probability was too low
а.нижегор	А.нижегор.	100
а.отроча м	А.Отроча м.	100
а.п.дем.сат	А.П.Дем.сат.	100
а.перт.м., № 48 (1)	no match	probability was too low
а.пр.адм.д	А.Пр.адм.д.	100
а.пыскор.м	А.Пыскор.м.	100
а.разр.ш	А.Разр.ш.	100
а.ром.сл	А.Ром.сл.	100
а.свир.м	А.Свир.м.	100
а.сим.м	А.Сим.м.	100
а.сир.м	no match	probability was too low
а.солов.бунта	А.солов.бунта	100
а.солов.м	А.Солов.м.	100
а.соловьева	no match	probability was too low
а.соловьева	no match	probability was too low
а.тихв.м	А.Тихв.м.	100
а.тр.–серг.м	А.Тр.-Серг.м.	100
а.тр.-сер.м	А.Тр.-Серг.м.	96
а.тр.-серг.м	А.Тр.-Серг.м.	100
а.тул.и каш.зав	А.Тул. и Каш.зав.	97
а.увар	А.Увар.	100
а.уст	no match	probability was too low
а.уст.i	А.Уст. I	95
а.уст.1	no match	probability was too low
а.холмог.там.избы	А.Холмог.там.избы	100
а.юж	no match	probability was too low
а.юж.и зап.рос	А.юж. и зап.Рос. I	95
а.юш	А.Юш.	100
а.гр.распр	no match	probability was too low
а.гр.распр.i	no match	probability was too low
а.гражд.расп	no match	probability was too low
а.гражд.распр	А.гражд.распр. I	95
а.гражд.распр.i	А.гражд.распр. I	97
а.закл	А.закл.	100
а.закл.ii	no match	probability was too low
а.креп, новг	А.креп.новг.	96
а.креп.новг	А.креп.новг.	100
а.кунгр	no match	probability was too low
а.кунгур	А.кунгур.	100
а.моск	А.Моск.	100
а.моск.печ.дв	А.Моск.печ.дв.	100
а.нижегор	А.нижегор.	100
а.подмоск	А.подмоск.	100
а.сб.лих	А.сб.Лих.	100
а.сб.мих	no match	probability was too low
а.соликам	А.соликам.	100
а.тяг	no match	probability was too low
а.тяг.i	А.тяг. I	95
а.феод землевл	А.феод.землевл. I	95
а.феод.землевл	А.феод.землевл. I	95
а.феод.землевл.i	А.феод.землевл. I	97
а.хоз.мор	А.хоз.Мор. I	95
а.холмог.там.избы	А.Холмог.там.избы	100
а.черд	А.черд.	100
а.черд.1	А.черд.1	100
а.черед	no match	probability was too low
а.юж.и зап.рос	А.юж. и зап.Рос. I	95
а.южн.и зап.рос	no match	probability was too low
а.(голуб.наз.)	А. (Голуб.Наз.)	96
а.белоз.съезж.избы	А.Белоз.съезж.избы	100
а.белоз.съезж.избы	А.Белоз.съезж.избы	100
а.верхот.съезж.избы	А.Верхот.съезж.избы	100
а.верхот.съезж.избы	А.Верхот.съезж.избы	100
а.верхот.съезж.избы, карт	А.Верхот.съезж.избы	95
а.верхот.съезж.избы	А.Верхот.съезж.избы	100
а.дедил.воев.избы	no match	probability was too low
а.дедил.воев.избы	no match	probability was too low
а.зап.рос	А.Зап.Рос. I	95
а.ивер.м	А.Ивер.м.	100
а.ипат.м	А.Ипат.м.	100
а.кадаш.сл	А.Кадаш.сл.	100
а.каш	no match	probability was too low
а.кир.–б.м	А.Кир.-Б.м.	100
а.кир.-б.м	А.Кир.-Б.м.	100
а.кир.-б.м	А.Кир.-Б.м.	100
а.лих	А.Лих.	100
а.моск.печ.дв	А.Моск.печ.дв.	100
а.моск.печ.дв	А.Моск.печ.дв.	100
а.пыскор.м	А.Пыскор.м.	100
а.свир.м	А.Свир.м.	100
а.свир.м	А.Свир.м.	100
а.соловьева	no match	probability was too low
а.тихв.м	А.Тихв.м.	100
а.тр.серг.м	А.Тр.-Серг.м.	96
а.уст	no match	probability was too low
а.холмог.там.избы	А.Холмог.там.избы	100
а.холмог.там.избы	А.Холмог.там.избы	100
а.холмог.там.избы	А.Холмог.там.избы	100
а.черд	А.черд.	100
а.юж	no match	probability was too low
а.юш	А.Юш.	100
а.граж.распр	no match	probability was too low
а.гражд.распр	А.гражд.распр. I	95
а.гражд.распр	А.гражд.распр. I	95
а.гражд.распр.і	no match	probability was too low
а.закл	А.закл.	100
а.зап.рос	А.Зап.Рос. I	95
а.креп.новг	А.креп.новг.	100
а.кунгур	А.кунгур.	100
а.подмоск	А.подмоск.	100
а.сб.лих	А.сб.Лих.	100
а.тяг	no match	probability was too low
а.феод.землевл	А.феод.землевл. I	95
а.хоз.мор	А.хоз.Мор. I	95
а.черд	А.черд.	100
а.юж.и зап.рос	А.юж. и зап.Рос. I	95
а.юж.и зап.рос	А.юж. и зап.Рос. I	95
аxу	no match	probability was too low
ааэ	no match	probability was too low
ааэ i	ААЭ I	100
ааэ iii	ААЭ III	100
азу	no match	probability was too low
аи	no match	probability was too low
аи iv	АИ IV	100
аи v	АИ V	100
амг	no match	probability was too low
амр	no match	probability was too low
амт	no match	probability was too low
ан	no match	probability was too low
арг	АРГ	100
асвр	no match	probability was too low
асвр iii	АСВР III	100
аху	no match	probability was too low
аху iii (лодом.)	АХУ III (Лодом.)	100
аху iii, (лодом.)	АХУ III (Лодом.)	97
аху, iii (лодом.)	АХУ III (Лодом.)	97
аю	АЮ	100
аюб	no match	probability was too low
аюб i	АЮБ I	100
ав.ж	Ав.Ж.	100
ав.зап	no match	probability was too low
ав.кн.бес	Ав.Кн.бес.	100
ав.кн.бес	Ав.Кн.бес.	100
ав.кн.толк	Ав.Кн.толк.	100
ав.кн.бес	Ав.Кн.бес.	100
ав.кн.бес.(прил.)	Ав.Кн.бес.(Прил.)	100
ав.кн.бес.(прил.)	Ав.Кн.бес.(Прил.)	100
ав.кн.бес.	Ав.Кн.бес.	100
ав.кн.обл	Ав.Кн.обл.	100
ав.кн.толк	Ав.Кн.толк.	100
ав.неизв.тексты	Ав.Неизв.тексты	100
ав.о богор	Авв.О богор.	95
ав.пис	Ав.Пис.	100
ав.пис.1	Ав.Пис.1	100
ав.пис.1	Ав.Пис.1	100
ав.посл	Ав.Посл.	100
ав.сотв.мира	Ав.Сотв.мира	100
ав.чел	Ав.Чел.	100
ав.кн.толк	Ав.Кн.толк.	100
ав.сотв.мира	Ав.Сотв.мира	100
ав.ж	Ав.Ж.	100
ав.зап	no match	probability was too low
ав.кн.толк	Ав.Кн.толк.	100
ав.кн.толк	Ав.Кн.толк.	100
ав.кн.бес	Ав.Кн.бес.	100
ав.кн.обл	Ав.Кн.обл.	100
ав.кн.толк	Ав.Кн.толк.	100
ав.пис.1	Ав.Пис.1	100
ав.сотв.мира	Ав.Сотв.мира	100
ав.сотв.мира	Ав.Сотв.мира	100
ав.чел	Ав.Чел.	100
авв.кн.бес	Авв.Кн.бес.	100
авв.кн.обл	Авв.Кн.обл.	100
авд.1.14	no match	probability was too low
автоб	no match	probability was too low
агасфер	Агасфер	100
адам и е	Адам и Е.	100
аз пов.(сказ.)	Аз.пов.(сказ.)	100
аз.нов.(особ.)	no match	probability was too low
аз.нов.(сказ.) 2	no match	probability was too low
аз.нов.(сказ.)1	no match	probability was too low
аз.пов	Аз.пов.	100
аз.пов.(нар.)	Аз.пов.(нар.)	100
аз.пов.(особ.)	Аз.пов.(особ.)	100
аз.пов.(сказ.)	Аз.пов.(сказ.)	100
аз.пов.(сказ.) 1	Аз.пов.(сказ.)1	97
аз.пов.(сказ.)1	Аз.пов.(сказ.)1	100
аз.пов.(сказ.)2	Аз.пов.(сказ.)	95
аз.пов.(сказ.)1	Аз.пов.(сказ.)1	100
аз.пов.1	Аз.пов.1	100
аз.пов	Аз.пов.	100
аз.пов.(оказ.)1	no match	probability was too low
аз.пов.(особ.)	Аз.пов.(особ.)	100
аз.пов.(сказ.)	Аз.пов.(сказ.)	100
аз.пов.(сказ.)1	Аз.пов.(сказ.)1	100
аз.пов.(сказ.)	Аз.пов.(сказ.)	100
аз.пов.1	Аз.пов.1	100
аз.пов.сказ.1	Аз.пов.(сказ.)	95
азб	Азб.	100
азб.iii	Азб. III	95
азб.знам.2	no match	probability was too low
азб.знам.3	no match	probability was too low
азб.наказ	Азб.наказ.	100
азб.стих	Азб.стих.	100
азб.стих	Азб.стих.	100
азб.наказ	Азб.наказ.	100
азбука знам	Азбука знам.	100
азбука знам.1	Азбука знам.1	100
азбука знам.1	Азбука знам.1	100
азбука знам.2	Азбука знам.2	100
азбука знам.3	Азбука знам.	95
азбука знам.4	Азбука знам.4	100
азбука знам.5	Азбука знам.5	100
азбука знам.6	Азбука знам.	95
азбука знам2	Азбука знам.	96
азбука знам6	Азбука знам.	96
ак	no match	probability was too low
ак.н	no match	probability was too low
ал.петр	no match	probability was too low
ал.ул	Ул.Ал.	95
алек сандрия	Александрия	96
алекс.-нев.лет	Алекс.-Нев.лет.	100
александрия	Александрия	100
александрия (вил.)	Александрия	95
александрия (вяз.)	Александрия (Вяз.)	100
александрия	Александрия	100
алф 1	Алф.1	100
алф,1	Алф.1	100
алф	Алф.	100
алф.1	Алф.1	100
алф.2	Алф.2	100
алф.3	Алф.3	100
алф.,1	Алф.1	95
алф..1	Алф.1	95
алф..а	no match	probability was too low
алф.1	Алф.1	100
алф.1,	Алф.1	100
алф.1	Алф.1	100
алф.2	Алф.2	100
алф.3	Алф.3	100
алф.4	Алф.4	100
алф.5	Алф.5	100
алф.6	Алф.6	100
алф1	no match	probability was too low
алф1	no match	probability was too low
алф3	no match	probability was too low
альб	Альб.	100
альш.нов.док	Альш.Нов.док.	100
алярд	Алярд	100
ам	no match	probability was too low
амос	no match	probability was too low
амос.viii, 10	no match	probability was too low
амф	no match	probability was too low
амф.1	no match	probability was too low
анаст.син.сл	no match	probability was too low
анаст.син.треб	no match	probability was too low
англ.д	Англ.д.	100
англ.д.(ю.т.)	Англ.д. (Ю.Т.)	96
англ.д.(ю.т.)	Англ.д. (Ю.Т.)	96
англ.д.	Англ.д.	100
англ.д	Англ.д.	100
англ.д.(ю.т.)	Англ.д. (Ю.Т.)	96
андрей критский	Андрей Критский	100
андрей критский	Андрей Критский	100
андриатис	Андриатис	100
анин	no match	probability was too low
анк	no match	probability was too low
анп.нов.док	Анп.Нов.док.	100
ант	no match	probability was too low
ант.вкл	Ант.Вкл.	100
ант.поуч	no match	probability was too low
антим	no match	probability was too low
апοкал	no match	probability was too low
апл.29	no match	probability was too low
апо кал	no match	probability was too low
апокал	Апокал.	100
апокал.1	Апокал.1	100
апост	no match	probability was too low
апост	no match	probability was too low
апост.(воскр.)	Апост. (Воскр.) I	95
апост.1307 г	no match	probability was too low
апост.xiv в	no match	probability was too low
апост.xрист	no match	probability was too low
апост.толст	Апост.Толст.	100
апост.христ	Апост.Христ.	100
апост.христу	Апост.Христ.	96
апост.д	no match	probability was too low
апост.посл	no match	probability was too low
апост.толк	Апост.толк.	100
апост.чт	no match	probability was too low
апост.христ	Апост.Христ.	100
апост.толк	Апост.толк.	100
апостол.посл	no match	probability was too low
апостола	no match	probability was too low
арc.сух.проскинитарий	no match	probability was too low
арз.а	Арз.а.	100
арз.в	Арз.в.	100
арз.а	Арз.а.	100
арз.в	Арз.в.	100
ариф.магниц	Арифм.Магниц.	96
арифм	Арифм.	100
арифм.магниц	Арифм.Магниц.	100
арифм.магниц	Арифм.Магниц.	100
арм.-рус.отн	Арм.-рус.отн.	100
арс.селун	no match	probability was too low
арс.сух.прен	Арс.Сух.Прен.	100
арс.сух.преп	no match	probability was too low
арс.сух.проскинитарий	Арс.Сух. Проскинитарий	98
арс.сух.проскинитарий	Арс.Сух. Проскинитарий	98
арс.сух.ст.сп	Арс.Сух.Ст.сп.	100
арс.тв.ч	Арс.Тв.ч.	100
арс.сух.проскинитарий	Арс.Сух. Проскинитарий	98
арс.сух.прен	Арс.Сух.Прен.	100
арс.сух.преп	no match	probability was too low
арс.сух.проскинитарий	Арс.Сух. Проскинитарий	98
арс.сух.ст.сп	Арс.Сух.Ст.сп.	100
арс.тв.ч	Арс.Тв.ч.	100
арт.пех	Арт.пех.	100
арт.повар	Арт.повар.	100
артаке, действо	no match	probability was too low
артаке.действо	no match	probability was too low
артакс.действо	Артакс.действо	100
артакс.действо	Артакс.действо	100
артил	no match	probability was too low
арх стр	Арх.Стр.I	95
арх	no match	probability was too low
арх.cтр	no match	probability was too low
арх.i сп	no match	probability was too low
арх.ант.–сийск	no match	probability was too low
арх.ант.–сийск.м	no match	probability was too low
арх.ант.-сийск	no match	probability was too low
арх.ант.-сийск.м	no match	probability was too low
арх.бог.важ.м	Арх.Бог.Важ.м.	100
арх.гамеля	Арх.Гамеля	100
арх.гамеля	Арх.Гамеля	100
арх.карг.м	Арх.Карг.м.	100
арх.красно–холм.м	Арх.Краснохолм.м.	97
арх.красно-холм.м	Арх.Краснохолм.м.	97
арх.красно-холмск.м	no match	probability was too low
арх.краснохолм.м	Арх.Краснохолм.м.	100
арх.краснохолм.м	Арх.Краснохолм.м.	100
арх.курак	Арх.Курак. I	95
арх.куракина	no match	probability was too low
арх.м.ж.м	Арх.М.Ж.м.	100
арх.м.ж.м.№ 3/80.сделочная роспись	no match	probability was too low
арх.мат	Арх.мат. I	95
арх.мих.–арх	Арх.Мих.-Арх.м.	95
арх.мих.–арх.м	Арх.Мих.-Арх.м.	100
арх.мих.-арх	Арх.Мих.-Арх.м.	95
арх.мих.-арх.м	Арх.Мих.-Арх.м.	100
арх.мих.-арх.м., дух.п.созонова	no match	probability was too low
арх.мих.-арх.м., оп	Арх.Мих.-Арх.м.	95
арх.мих.арх.м., оп	Арх.Мих.-Арх.м.	95
арх.ник.корел.м	Арх.Ник.Корел.м.	100
арх.ник.–кор.м	no match	probability was too low
арх.ник.-кор.м	no match	probability was too low
арх.ник.-кор.м.(кн.веревн.)	no match	probability was too low
арх.нов.м	Арх.Нов.м.	100
арх.он	Арх.Он.	100
арх.он.(ар.)	Арх.Он. (Ар.)	95
арх.перм	no match	probability was too low
арх.перт, м	Арх.Перт.м.	95
арх.перт.м	Арх.Перт.м.	100
арх.перт.м.сказ	no match	probability was too low
арх.покр.сузд.м	Арх.Покр.Сузд.м.	100
арх.солов, м	Арх.Солов.м.	96
арх.солов.м	Арх.Солов.м.	100
арх.солотч.м	Арх.Солотч.м.	100
арх.солотч.м., оп	Арх.Солотч.м.	95
арх.стр	Арх.Стр.I	95
арх.стр.i	Арх.Стр.I	100
арх.стр.г	no match	probability was too low
арх.стр.1	no match	probability was too low
арх.строева	no match	probability was too low
арх.тол стого	Арх.Толстого	96
арх.толстого	Арх.Толстого	100
арх.толстого, jv	Арх.Толстого	95
арх.толстого	Арх.Толстого	100
арх.черн.пин.м	Арх.Черн.Пин.м.	100
арх.а	no match	probability was too low
арх.бум.петр	Арх.бум.Птр.	96
арх.бум.петра	Арх.бум.Петра, I	95
арх.бум.петра i	Арх.бум.Петра, I	97
арх.бум.петра, i	Арх.бум.Петра, I	100
арх.ев	no match	probability was too low
арх.мат	Арх.мат. I	95
арх.наместн.новг.архиеп	Арх.наместн.Новг.архиеп.	100
арх.наместн.новг.архиеп.»	Арх.наместн.Новг.архиеп.	100
арх.наместн.новг.архиеп	Арх.наместн.Новг.архиеп.	100
арх.ант.-сийск.м	no match	probability was too low
арх.гамеля	Арх.Гамеля	100
арх.карг.м	Арх.Карг.м.	100
арх.курак	Арх.Курак. I	95
арх.м.ж.м	Арх.М.Ж.м.	100
арх.он	Арх.Он.	100
арх.он.(ар.)	Арх.Он. (Ар.)	95
арх.стр	Арх.Стр.I	95
арх.толстого	Арх.Толстого	100
арх.бум.петра	Арх.бум.Петра, I	95
арх.бум.петра	Арх.бум.Петра, I	95
арх.ев	no match	probability was too low
арх.обл.слов.подв	no match	probability was too low
арх.сб	no match	probability was too low
арханг.ев	Арханг.ев.	100
арханг.лет	Арханг.лет.	100
арханг.лет.(кон.)	Арханг.лет. (кон.)	97
арханг.ев	Арханг.ев.	100
арханг.лет	Арханг.лет.	100
арциховский, древнерус.миниатюры	no match	probability was too low
астрax.а	no match	probability was too low
астрах, а	Астрах.а.	95
астрах.а	Астрах.а.	100
астрах.а.(ст.)	Астрах.а. (Ст.)	96
астрах.бунт раз	Астрах.бунт Раз.	100
астрах.д	no match	probability was too low
астрах.а	Астрах.а.	100
афан.алекс.мин.чет.июн	no match	probability was too low
афан.алекс.сл.на ариан	Афан.Алекс.Сл. на ариан	98
афан.алекс.сл.на ариан.1	Афан.Алекс. Сл.на ариан1	96
афан.алекс.сл.на ариан1	Афан.Алекс. Сл.на ариан1	98
афан.алекс.сл.на ариан	Афан.Алекс.Сл. на ариан	98
афан.алекс., сл.на ариан	Афан.Алекс. Сл.на ариан1	96
афан.алекс.сл.на ариан	Афан.Алекс.Сл. на ариан	98
афан.алекс.сл.на ариан	Афан.Алекс.Сл. на ариан	98
афан.алекс.сл.на ариан	Афан.Алекс.Сл. на ариан	98
афон.гора	Дам.Афон.гора	95
баг.мат	Баг.Мат.	100
баг.мат	Баг.Мат.	100
балаш	no match	probability was too low
барс	no match	probability was too low
барс.словарь	Барс.Словарь	100
басс.патр.1	no match	probability was too low
баязет	Баязет	100
бел.дв.)	no match	probability was too low
белозер.переп	Белозер.переп.	100
белозер.переп	Белозер.переп.	100
белокур	Белокур.	100
белокур.i	Белокур.	95
белокур.1	Белокур.	95
бер	no match	probability was too low
берест.гр	Берест.гр. I	95
берест.гр	Берест.гр. I	95
бес.вал	no match	probability was too low
беседа	no match	probability was too low
беседа вал	Беседа Вал.	100
беседа вал.1	Беседа Вал.1	100
беседа вал.2	Беседа Вал.2	100
беседа вал2	Беседа Вал.2	96
беседа отца с сыном	Беседа отца с сыном	100
беседа отца с сыном	Беседа отца с сыном	100
беседа отца с сыном1	Беседа отца с сыном1	100
беседа.вал	Беседа Вал.	100
беседа.вал.1	Беседа Вал.1	100
беседа.вал.2	Беседа Вал.2	100
библ	Библ.	100
библ.(рум.)	Библ. (Рум.)	95
библ.1499 г	Библ.Генн.1499 г.	95
библ.1499 г	Библ.Генн.1499 г.	95
библ.генн	Библ.Генн.1	95
библ.генн.1499	Библ.Генн.1499 г.	95
библ.генн.1499 г	Библ.Генн.1499 г.	100
библ.генн.)	Библ.Генн.1	95
библ.генн.	Библ.Генн.1	95
библ.генн.1	Библ.Генн.1	100
библ.генн.1499 г	Библ.Генн.1499 г.	100
библ.генн.2	no match	probability was too low
