	no match	probability was too low
 Ав. Сотв. мира	Ав.Сотв.мира	95
 Ворон. Петр. а.	Ворон.Петр.а.	95
 Истом. Град. ц.	Истом.Град ц. Карион	95
 Кир. Тур.	Кир.Тур. XV	95
 Оп. ветх. Моск. кремля	Оп.ветх.Моск.кремля	95
 Пах. Ж. Кир. Б.	Пах.Ж.Кир.Б.	95
 Посл. Бегичева	Посл.Бегичева	96
Русской грамматике” Лудольфа	no match	probability was too low
(1 Кор. XIV, 35)	no match	probability was too low
(Io. Dam. Dial., PG, t. 94. col. 624)	no match	probability was too low
(SJS 34, 614)	no match	probability was too low
(Ак.)	no match	probability was too low
(Амф.)	no match	probability was too low
(Апост. XIV в.)	no match	probability was too low
(БАН2)	no match	probability was too low
(Библ. 1499 г.)	Библ.Генн.1499 г.	95
(В. I, 363)	no match	probability was too low
(В. II, 39)	no match	probability was too low
(В. II. 131)	no match	probability was too low
(В.)	no match	probability was too low
(В.).	no match	probability was too low
(Варc. крм.)	no match	probability was too low
(Варс. крм.)	no match	probability was too low
(Волог. сб. Ак. н. XV в.)	no match	probability was too low
(Гал. ев.)	Гал.ев.	95
(Др. Рос. гос. II, 107)	no match	probability was too low
(Евг.)	no match	probability was too low
(Ж. Андр. Юрод.)	Ж.Андр.Юрод.	95
(Златостр. XII в.)	no match	probability was too low
(Изв. Арх. т. II. 109)	no match	probability was too low
(Изв. т. VIII, 76)	no match	probability was too low
(Ио. Злат.)	Ж.Ио.Злат.	95
(Ист. гос. Рос., т. VI, пр. 310)	no match	probability was too low
(Ист. чт. II. 153)	no match	probability was too low
(Исх. XXII, 13)	no match	probability was too low
(Калайд. 198)	no match	probability was too low
(Кар. И. Г. Р. X. 324 пр.)	no match	probability was too low
(Кар. И. Г. Р. т. IX. пр. 648)	no match	probability was too low
(Кар. И. Г. Р. т. VII, пр. 103)	no match	probability was too low
(Кар. И. Г. Р. т. X. пр. 426)	no match	probability was too low
(Кар. И. Г. Р., т. IX, пр. 648)	no match	probability was too low
(Кар. И.Г.Р. VI пр. 103)	no match	probability was too low
(Карамз. ИГР IX, прим. 348)	no match	probability was too low
(Кол. II, 8)	no match	probability was too low
(Конст. 1—2 кан. 6)	no match	probability was too low
(Кор. 1. И. 1)	no match	probability was too low
(Лев. XXIII. 34)	no match	probability was too low
(Лих.)	no match	probability was too low
(М.)	no match	probability was too low
(Маргарит)	Маргарит	100
(Мат. 21)	no match	probability was too low
(Мат. 48)	no match	probability was too low
(Мат. Бусл. 55)	no match	probability was too low
(Мин. июн. д. 1200 г.)	no match	probability was too low
(Н.-Кес. 4)	no match	probability was too low
(Новг.)	no match	probability was too low
(Нор. 143)	no match	probability was too low
(Нор. 2)	no match	probability was too low
(Нор. 6)	no match	probability was too low
(Нор., 141)	no match	probability was too low
(Обол. 25)	no match	probability was too low
(Оп. II. 2. 114)	no match	probability was too low
(Острож.)	no match	probability was too low
(Пар. 1370)	no match	probability was too low
(Парем. 1270 г.)	no match	probability was too low
(Пат. Печ. XIІ-XIІІ вв.)	no match	probability was too low
(Пат. Печ.)	no match	probability was too low
(Патерик Печ. 7)	Патерик Печ.	95
(Прем. V. 22).	no match	probability was too low
(Приб. Тв. св. о., 248)	no match	probability was too low
(Приб. тв. св. от. 2.252)	no match	probability was too low
(Приб. тв. св. от. II, 293)	no match	probability was too low
(Рум. 173)	no match	probability was too low
(Рум. 454)	no match	probability was too low
(Сбор. 1414 г., 28)	no match	probability was too low
(Сл. Ио. Злат.)	no match	probability was too low
(Срз. III, 68)	no match	probability was too low
(Тимоф. и Мавр.)	no match	probability was too low
(Толст.)	no match	probability was too low
(Трул. 61)	no match	probability was too low
(Упыр)	no match	probability was too low
(Упыр).	no match	probability was too low
(Упыр. 100).	no match	probability was too low
(Упыр. 104)	no match	probability was too low
(Упыр. 106)	no match	probability was too low
(Упыр. 108)	no match	probability was too low
(Упыр. 204)	no match	probability was too low
(Упыр. 226)	no match	probability was too low
(Упыр. 229)	no match	probability was too low
(Упыр. 230 толк.)	no match	probability was too low
(Упыр. 234)	no match	probability was too low
(Упыр. 242)	no match	probability was too low
(Упыр. 251)	no match	probability was too low
(Упыр. 259)	no match	probability was too low
(Упыр. 277)	no match	probability was too low
(Упыр. 29)	no match	probability was too low
(Упыр. 40)	no match	probability was too low
(Упыр. 43)	no match	probability was too low
(Упыр. 45)	no match	probability was too low
(Упыр. 47)	no match	probability was too low
(Упыр. 50)	no match	probability was too low
(Упыр. 59)	no match	probability was too low
(Упыр. 62)	no match	probability was too low
(Упыр. 66)	no match	probability was too low
(Упыр. 67)	no match	probability was too low
(Упыр. 70)	no match	probability was too low
(Упыр. 83)	no match	probability was too low
(Упыр. 86)	no match	probability was too low
(Упыр. 90)	no match	probability was too low
(Упыр. 92)	no match	probability was too low
(Упыр.)	no match	probability was too low
(Упыр.).	no match	probability was too low
(Упырь)	no match	probability was too low
(Устав св. горы)	no match	probability was too low
(Уч. Зап. IV. 201)	no match	probability was too low
(Феод.Сик)	no match	probability was too low
(Хроногр. XIV в.)	no match	probability was too low
(Чуд. сбор. XIV в., 131)	no match	probability was too low
(Чуд. сп. 138)	no match	probability was too low
(Чуд. сп. 197)	no match	probability was too low
(Чуд.)	no match	probability was too low
(Чуд.).	no match	probability was too low
(по Варс. крм.)	no match	probability was too low
(по Син. сп.)	no match	probability was too low
(толк. Упыр. 167)	no match	probability was too low
(толк. Упыр. 205)	no match	probability was too low
(толк. Упыр. 28)	no match	probability was too low
(толк. Упыр. л. 228)	no match	probability was too low
(толк. Упыр.)	no match	probability was too low
1 Кор. II, 4	no match	probability was too low
1 Тим. V, 11	no match	probability was too low
2 Мак.	no match	probability was too low
3 Цар. 11, 28	no match	probability was too low
3 Цар. V, 11	no match	probability was too low
6.	no match	probability was too low
ACBP	no match	probability was too low
AMГ	no match	probability was too low
Apc.Cyx.Ст.сп.	no match	probability was too low
Apx.Стр.	no match	probability was too low
AИ	no match	probability was too low
AСBP	no match	probability was too low
AСВР	no match	probability was too low
Aпo- кал.	no match	probability was too low
Boct.	no match	probability was too low
Bocт.	no match	probability was too low
BМЧ	no match	probability was too low
Emundo. Лекс. словен.лат.	no match	probability was too low
Eфр. корм.	no match	probability was too low
Gr. Naz.	no match	probability was too low
Herb.	no match	probability was too low
Koзмa Инд.	no match	probability was too low
Kн.pacx.Kиp.м.	no match	probability was too low
Lnd.	no match	probability was too low
Lud.	no match	probability was too low
Lud.1	no match	probability was too low
Mikl. Lex.	no match	probability was too low
Monumenta linguae slavicae	no match	probability was too low
Mин. сент.	no match	probability was too low
Mус.-Пушк. сб.	no match	probability was too low
Ocтp. ев.	no match	probability was too low
P. Джемс. Словарь	no match	probability was too low
P. Джемс.Словарь	no match	probability was too low
PG	no match	probability was too low
RB	no match	probability was too low
SJS	no match	probability was too low
SLS	no match	probability was too low
SLS I, 111	no match	probability was too low
SLS.	no match	probability was too low
Sl. jaz. starosl.	no match	probability was too low
S?. Stp.	no match	probability was too low
Taм же	no match	probability was too low
Tам же	no match	probability was too low
X. Варс.	no match	probability was too low
X. Вас. Гаг.	no match	probability was too low
X. Вас. Познякова	no match	probability was too low
X. Грефения	no match	probability was too low
X. Зос.	no match	probability was too low
X. Ио. Бог.	no match	probability was too low
X. Ио. Бог. (Амф.)	no match	probability was too low
X. Ионы Мал.	no match	probability was too low
X. Котова	no match	probability was too low
X. Котова1	no match	probability was too low
X. Стеф. Новг.	no match	probability was too low
X. Тр. Короб.	no match	probability was too low
X. Тр. Короб. (вар.)	no match	probability was too low
X.Котова	no match	probability was too low
ibid.	no match	probability was too low
?ЮБ	no match	probability was too low
?покал.	no match	probability was too low
?р. Наз.	no match	probability was too low
?фр. Сир.	no match	probability was too low
?фр. корм.	no match	probability was too low
?ин. окт.	no match	probability was too low
? молитве С. Н. Б.	no match	probability was too low
?п.	no match	probability was too low
?. отреч.	no match	probability was too low
?салт. Чуд.1	no match	probability was too low
?.	no match	probability was too low
ІІ	no match	probability was too low
ІІІестоднев Ио. екз.1	no match	probability was too low
А Белоз. съезж. избы	А.Белоз.съезж.избы	95
А Ворон, приказн. избы	А.Ворон.приказн.избы	95
А Ворон. приказн. избы	А.Ворон.приказн.избы	95
А мелкоту товарыщей их казнить. Булав. восст.	no match	probability was too low
А юж. и зап. Рос.	А.юж. и зап.Рос. I	95
А. Белоз. съезж. избы	А.Белоз.съезж.избы	95
А. Белоз. съезж. избы, карт.	no match	probability was too low
А. Белоз. съезж. избы.	А.Белоз.съезж.избы	95
А. Брян. приказн. избы	А.Брян.приказн.избы	95
А. Верхот. съезж. избы	А.Верхот.съезж.избы	95
А. Верхот. съезж. избы, карт.	А.Верхот.съезж.избы	95
А. Верхот. съезж.избы	А.Верхот.съезж.избы	95
А. Верхот.съезж. избы	А.Верхот.съезж.избы	95
А. Ворон, приказн. избы	А.Ворон.приказн.избы	95
А. Ворон, приказн. избы, он.	А.Ворон.приказн.избы	95
А. Ворон, приказн. избы, оп.	А.Ворон.приказн.избы	95
А. Ворон. губн. стар.	А.Ворон.губн.стар.	95
А. Ворон. нриказн. избы	no match	probability was too low
А. Ворон. приКазн. избы	А.Ворон.приказн.избы	95
А. Ворон. приказн. избы	А.Ворон.приказн.избы	95
А. Ворон. приказн. избы, он.	А.Ворон.приказн.избы	95
А. Ворон. приказн. избы., оп.	А.Ворон.приказн.избы	95
А. Ворон. съезж. избы, кор.	no match	probability was too low
А. Ворон.приказн. избы	А.Ворон.приказн.избы	95
А. Горч.	А.Горч.	95
А. Дедил. воев. избы	no match	probability was too low
А. Зап. Рос.	А.Зап.Рос. I	95
А. Ивер. м.	А.Ивер.м.	95
А. Ивер. м. (Грамотка старца Тита)	no match	probability was too low
А. Ивер. м. Досмотр.	no match	probability was too low
А. Ивер. м. Отп.	no match	probability was too low
А. Ивер. м. Отп. Петра Апраксина	no match	probability was too low
А. Ивер. м. Отп. служки X. Кирилова архим. Филофею	no match	probability was too low
А. Ивер. м. Отп. старца печура Селивестра	no match	probability was too low
А. Ивер. м. Приемн. росп. г. Ольшанска	no match	probability was too low
А. Ивер. м. Роспись	no match	probability was too low
А. Ивер. м. Чел.	no match	probability was too low
А. Ивер. м. Чел. Аарону	no match	probability was too low
А. Ивер. м. Челобитная	no match	probability was too low
А. Ивер. м. Челобитная.	no match	probability was too low
А. Ивер. м., Гр. старца архимандриту	no match	probability was too low
А. Ивер. м..	А.Ивер.м.	95
А. Ипат. м.	А.Ипат.м.	95
А. Ка даш. сл.	no match	probability was too low
А. Кадаш. сл.	А.Кадаш.сл.	95
А. Кашин.	А.Кашин. I	95
А. Кир-Б. м.	А.Кир.-Б.м.	95
А. Кир.- Б. м.	А.Кир.-Б.м.	95
А. Кир.-Б. м.	А.Кир.-Б.м.	95
А. Кир.-Б.м.	А.Кир.-Б.м.	95
А. Кунгур.	А.кунгур.	95
А. Кунгур. з. избы	А.кунгур.з.избы	95
А. Кунгур. з. избы.	А.кунгур.з.избы	95
А. Лих.	А.Лих.	95
А. Лих. (Деловая)	no match	probability was too low
А. Лих. Чел. Белавинского	no match	probability was too low
А. Моск.	А.Моск.	95
А. Моск. печ. дв.	А.Моск.печ.дв.	95
А. Моск. печ. двор.	no match	probability was too low
А. Нижегор.	А.нижегор.	95
А. Отроча м.	А.Отроча м.	95
А. П. Дем. сат.	А.П.Дем.сат.	95
А. Перт. м., № 48 (1).	no match	probability was too low
А. Пр. адм. д.	А.Пр.адм.д.	95
А. Пыскор. м.	А.Пыскор.м.	95
А. Разр. ш.	А.Разр.ш.	95
А. Ром. сл.	А.Ром.сл.	95
А. Свир. м.	А.Свир.м.	95
А. Сим. м.	А.Сим.м.	95
А. Сир. м.	no match	probability was too low
А. Солов. бунта	А.солов.бунта	95
А. Солов. м.	А.Солов.м.	95
А. Соловьева	no match	probability was too low
А. Соловьева.	no match	probability was too low
А. Тихв. м.	А.Тихв.м.	95
А. Тр.- Серг. м.	А.Тр.-Серг.м.	95
А. Тр.-Сер. м.	no match	probability was too low
А. Тр.-Серг. м.	А.Тр.-Серг.м.	95
А. Тул. и Каш. зав.	А.Тул. и Каш.зав.	95
А. Увар.	А.Увар.	95
А. Уст.	А.Уст. I	95
А. Уст. I	А.Уст. I	95
А. Уст.1	no match	probability was too low
А. Холмог. там. избы	А.Холмог.там.избы	95
А. Юж.	no match	probability was too low
А. Юж. и Зап. Рос.	А.юж. и зап.Рос. I	95
А. Юш.	А.Юш.	95
А. гр. распр.	А.гр.распр.(Ф.-Ч.)	95
А. гр. распр. I	no match	probability was too low
А. гражд. расп.	no match	probability was too low
А. гражд. распр.	А.гражд.распр. I	95
А. гражд. распр. I	А.гражд.распр. I	95
А. закл.	А.закл.	95
А. закл. II.	no match	probability was too low
А. креп, новг.	А.креп.новг.	95
А. креп. новг.	А.креп.новг.	95
А. кунгр.	no match	probability was too low
А. кунгур.	А.кунгур.	95
А. моск.	А.Моск.	95
А. моск. печ. дв.	А.Моск.печ.дв.	95
А. нижегор.	А.нижегор.	95
А. подмоск.	А.подмоск.	95
А. сб. Лих.	А.сб.Лих.	95
А. сб. Мих.	no match	probability was too low
А. соликам.	А.соликам.	95
А. тяг.	А.тяг. I	95
А. тяг. I	А.тяг. I	95
А. феод землевл.	А.феод.землевл. I	95
А. феод. землевл.	А.феод.землевл. I	95
А. феод. землевл. I	А.феод.землевл. I	95
А. хоз. Мор.	А.хоз.Мор. I	95
А. холмог. там. избы	А.Холмог.там.избы	95
А. черд.	А.черд.	95
А. черд.1	А.черд.1	95
А. черед.	no match	probability was too low
А. юж. и зап. Рос.	А.юж. и зап.Рос. I	95
А. южн. и зап. Рос.	no match	probability was too low
А.(Голуб.Наз.)	А. (Голуб.Наз.)	96
А.Белоз.съезж. избы	А.Белоз.съезж.избы	97
А.Белоз.съезж.избы	А.Белоз.съезж.избы	100
А.Верхот. съезж. избы	А.Верхот.съезж.избы	95
А.Верхот.съезж. избы	А.Верхот.съезж.избы	97
А.Верхот.съезж. избы, карт.	А.Верхот.съезж.избы	95
А.Верхот.съезж.избы	А.Верхот.съезж.избы	100
А.Дедил.воев. избы	no match	probability was too low
А.Дедил.воев.избы	no match	probability was too low
А.Зап.Рос.	А.Зап.Рос. I	95
А.Ивер.м.	А.Ивер.м.	100
А.Ипат.м.	А.Ипат.м.	100
А.Кадаш. сл.	А.Кадаш.сл.	95
А.Каш.	no match	probability was too low
А.Кир.- Б.м.	А.Кир.-Б.м.	95
А.Кир.-Б. м.	А.Кир.-Б.м.	95
А.Кир.-Б.м.	А.Кир.-Б.м.	100
А.Лих.	А.Лих.	100
А.Моск. печ. дв.	А.Моск.печ.дв.	95
А.Моск.печ.дв.	А.Моск.печ.дв.	100
А.Пыскор.м.	А.Пыскор.м.	100
А.Свир. м.	А.Свир.м.	95
А.Свир.м.	А.Свир.м.	100
А.Соловьева	no match	probability was too low
А.Тихв.м.	А.Тихв.м.	100
А.Тр.Серг.м.	А.Тр.-Серг.м.	96
А.Уст.	no match	probability was too low
А.Холмог. там.избы	А.Холмог.там.избы	97
А.Холмог.там. избы	А.Холмог.там.избы	97
А.Холмог.там.избы	А.Холмог.там.избы	100
А.Черд.	А.черд.	100
А.Юж.	no match	probability was too low
А.Юш.	А.Юш.	100
А.граж.распр.	no match	probability was too low
А.гражд. распр.	А.гражд.распр. I	95
А.гражд.распр.	А.гражд.распр. I	95
А.гражд.распр.І	no match	probability was too low
А.закл.	А.закл.	100
А.зап.Рос.	А.Зап.Рос. I	95
А.креп.новг.	А.креп.новг.	100
А.кунгур.	А.кунгур.	100
А.подмоск.	А.подмоск.	100
А.сб.Лих.	А.сб.Лих.	100
А.тяг.	no match	probability was too low
А.феод.землевл.	А.феод.землевл. I	95
А.хоз.Мор.	А.хоз.Мор. I	95
А.черд.	А.черд.	100
А.юж. и зап.Рос.	А.юж. и зап.Рос. I	95
А.юж.и зап. Рос.	А.юж. и зап.Рос. I	95
АXУ	no match	probability was too low
ААЭ	no match	probability was too low
ААЭ I	ААЭ I	100
ААЭ III	ААЭ III	100
АЗУ	no match	probability was too low
АИ	no match	probability was too low
АИ IV	АИ IV	100
АИ V	АИ V	100
АМГ	no match	probability was too low
АМР	no match	probability was too low
АМТ	no match	probability was too low
АН	no match	probability was too low
АРГ	АРГ	100
АСВР	no match	probability was too low
АСВР III	АСВР III	100
АХУ	no match	probability was too low
АХУ III (Лодом.)	АХУ III (Лодом.)	100
АХУ III, (Лодом.)	АХУ III (Лодом.)	97
АХУ, III (Лодом.)	АХУ III (Лодом.)	97
АЮ	АЮ	100
АЮБ	no match	probability was too low
АЮБ I	АЮБ I	100
Ав. Ж.	Ав.Ж.	95
Ав. Зап.	Ав.Зап. IX	95
Ав. Кн. Бес	Ав.Кн.бес.	95
Ав. Кн. Бес.	Ав.Кн.бес.	95
Ав. Кн. Толк.	Ав.Кн.толк.	95
Ав. Кн. бес.	Ав.Кн.бес.	95
Ав. Кн. бес. (Прил.)	Ав.Кн.бес.(Прил.)	95
Ав. Кн. бес. (прил.)	Ав.Кн.бес.(Прил.)	95
Ав. Кн. бес..	Ав.Кн.бес.	95
Ав. Кн. обл.	Ав.Кн.обл.	95
Ав. Кн. толк.	Ав.Кн.толк.	95
Ав. Неизв. тексты	Ав.Неизв.тексты	95
Ав. О богор.	Ав. О богор.	100
Ав. Пис.	Ав.Пис.	95
Ав. Пис. 1	Ав.Пис.1	95
Ав. Пис.1	Ав.Пис.1	95
Ав. Посл.	Ав.Посл.	95
Ав. Сотв. мира	Ав.Сотв.мира	95
Ав. Чел.	Ав.Чел.	95
Ав. кн. толк.	Ав.Кн.толк.	95
Ав. сотв. мира	Ав.Сотв.мира	95
Ав.Ж.	Ав.Ж.	100
Ав.Зап.	no match	probability was too low
Ав.Кн. толк.	Ав.Кн.толк.	95
Ав.Кн.Толк.	Ав.Кн.толк.	100
Ав.Кн.бес.	Ав.Кн.бес.	100
Ав.Кн.обл.	Ав.Кн.обл.	100
Ав.Кн.толк.	Ав.Кн.толк.	100
Ав.Пис.1	Ав.Пис.1	100
Ав.Сотв. мира	Ав.Сотв.мира	96
Ав.Сотв.мира	Ав.Сотв.мира	100
Ав.Чел.	Ав.Чел.	100
Авв. Кн. бес.	Авв.Кн.бес.	95
Авв.Кн.обл.	Авв.Кн.обл.	100
Авд. 1. 14	no match	probability was too low
Автоб.	no match	probability was too low
Агасфер	Агасфер	100
Адам и Е.	Адам и Е.	100
Аз пов. (сказ.)	Аз.пов.(сказ.)	96
Аз. нов. (особ.)	no match	probability was too low
Аз. нов. (сказ.) 2	no match	probability was too low
Аз. нов. (сказ.)1	no match	probability was too low
Аз. пов.	Аз.пов.	95
Аз. пов. (нар.)	Аз.пов.(нар.)	95
Аз. пов. (особ.)	Аз.пов.(особ.)	95
Аз. пов. (сказ.)	Аз.пов.(сказ.)	95
Аз. пов. (сказ.) 1	Аз.пов.(сказ.)1	95
Аз. пов. (сказ.)1	Аз.пов.(сказ.)	95
Аз. пов. (сказ.)2	Аз.пов.(сказ.)	95
Аз. пов.(сказ.)1	Аз.пов.(сказ.)1	97
Аз. пов.1	Аз.пов.1	95
Аз.пов.	Аз.пов.	100
Аз.пов. (оказ.)1	no match	probability was too low
Аз.пов. (особ.)	Аз.пов.(особ.)	96
Аз.пов. (сказ.)	Аз.пов.(сказ.)	96
Аз.пов. (сказ.)1	Аз.пов.(сказ.)1	97
Аз.пов.(сказ.)	Аз.пов.(сказ.)	100
Аз.пов.1	Аз.пов.1	100
Аз.пов.сказ.1	Аз.пов.(сказ.)	95
Азб.	Азб.	100
Азб. III	Азб. III	100
Азб. знам.2	no match	probability was too low
Азб. знам.3	no match	probability was too low
Азб. наказ.	Азб.наказ.	95
Азб. стих.	Азб.стих.	95
Азб.Стих.	Азб.стих.	100
Азб.наказ.	Азб.наказ.	100
Азбука знам.	Азбука знам.	100
Азбука знам.1	Азбука знам.1	100
Азбука знам.1.	Азбука знам.1	100
Азбука знам.2	Азбука знам.2	100
Азбука знам.3	Азбука знам.	95
Азбука знам.4	Азбука знам.4	100
Азбука знам.5	Азбука знам.5	100
Азбука знам.6	Азбука знам.	95
Азбука знам2.	Азбука знам.	96
Азбука знам6.	Азбука знам.	96
Ак.	no match	probability was too low
Ак. н.	no match	probability was too low
Ал. Петр.	no match	probability was too low
Ал. Ул.	Ул.Ал.	95
Алек сандрия	Александрия	96
Алекс.-Нев. лет.	Алекс.-Нев.лет.	97
Александрия	Александрия	100
Александрия (Вил.)	Александрия	95
Александрия (Вяз.)	Александрия (Вяз.)	100
Александрия.	Александрия	100
Алф 1	Алф.1	100
Алф,1	Алф.1	100
Алф.	Алф.	100
Алф. 1	Алф.1	95
Алф. 2	Алф.2	95
Алф. 3	Алф.3	95
Алф.,1	Алф.1	95
Алф..1	Алф.1	95
Алф..А	no match	probability was too low
Алф.1	Алф.1	100
Алф.1,	Алф.1	100
Алф.1.	Алф.1	100
Алф.2	Алф.2	100
Алф.3	Алф.3	100
Алф.4	Алф.4	100
Алф.5	Алф.5	100
Алф.6	Алф.6	100
Алф1	no match	probability was too low
Алф1.	no match	probability was too low
Алф3	no match	probability was too low
Альб.	Альб.	100
Альш. Нов. док.	Альш.Нов.док.	95
Алярд	Алярд	100
Ам.	no match	probability was too low
Амос.	no match	probability was too low
Амос. VIII, 10	no match	probability was too low
Амф.	no match	probability was too low
Амф.1	no match	probability was too low
Анаст. Син. Сл.	no match	probability was too low
Анаст. Син. треб.	no match	probability was too low
Англ. д.	Англ.д.	95
Англ. д. (Ю. Т.)	Англ.д. (Ю.Т.)	95
Англ. д. (Ю.Т.)	Англ.д. (Ю.Т.)	96
Англ. д..	Англ.д.	95
Англ.д.	Англ.д.	100
Англ.д. (Ю. Т.)	Англ.д. (Ю.Т.)	96
Андрей Критский	Андрей Критский	100
Андрей Критский.	Андрей Критский	100
Андриатис	Андриатис	100
Анин.	no match	probability was too low
Анк.	no match	probability was too low
Анп. Нов. док.	Анп.Нов.док.	95
Ант.	no match	probability was too low
Ант. Вкл.	Ант.Вкл.	95
Ант. Поуч.	no match	probability was too low
Антим.	no match	probability was too low
Ап?кал.	no match	probability was too low
Апл. 29	no match	probability was too low
Апо кал.	no match	probability was too low
Апокал.	Апокал.	100
Апокал.1	Апокал.1	100
Апост	no match	probability was too low
Апост.	no match	probability was too low
Апост. (Воскр.)	Апост. (Воскр.) I	95
Апост. 1307 г.	no match	probability was too low
Апост. XIV в.	no match	probability was too low
Апост. Xрист.	no match	probability was too low
Апост. Толст.	Апост.Толст.	96
Апост. Христ.	Апост.Христ.	96
Апост. Христу	no match	probability was too low
Апост. д.	no match	probability was too low
Апост. посл.	no match	probability was too low
Апост. толк.	Апост.толк.	95
Апост. чт.	no match	probability was too low
Апост.Христ.	Апост.Христ.	100
Апост.толк.	Апост.толк.	100
Апостол. посл.	no match	probability was too low
Апостола	no match	probability was too low
Арc. Сух. Проскинитарий	no match	probability was too low
Арз. а.	Арз.а.	95
Арз. в.	Арз.в.	95
Арз.а.	Арз.а.	100
Арз.в.	Арз.в.	100
Ариф. Магниц.	no match	probability was too low
Арифм.	Арифм.	100
Арифм. Магниц.	Арифм.Магниц.	96
Арифм.Магниц.	Арифм.Магниц.	100
Арм.-рус. отн.	Арм.-рус.отн.	96
Арс. Селун.	no match	probability was too low
Арс. Сух. Прен.	Арс.Сух.Прен.	95
Арс. Сух. Преп.	no match	probability was too low
Арс. Сух. Проскинитарий	Арс.Сух. Проскинитарий	98
Арс. Сух. Проскинитарий.	Арс.Сух. Проскинитарий	98
Арс. Сух. Ст. сп.	Арс.Сух.Ст.сп.	95
Арс. Тв. ч.	Арс.Тв.ч.	95
Арс.Сух. Проскинитарий	Арс.Сух. Проскинитарий	100
Арс.Сух.Прен.	Арс.Сух.Прен.	100
Арс.Сух.Преп.	no match	probability was too low
Арс.Сух.Проскинитарий	Арс.Сух. Проскинитарий	98
Арс.Сух.Ст.сп.	Арс.Сух.Ст.сп.	100
Арс.Тв.ч.	Арс.Тв.ч.	100
Арт. пех.	Арт.пех.	95
Арт. повар.	Арт.повар.	95
Артаке, действо	no match	probability was too low
Артаке. действо	no match	probability was too low
Артакс. действо	Артакс.действо	97
Артакс.действо	Артакс.действо	100
Артил.	no match	probability was too low
Арх Стр.	Арх.Стр.I	95
Арх.	no match	probability was too low
Арх. Cтр.	no match	probability was too low
Арх. I сп.	no match	probability was too low
Арх. Ант.- Сийск.	no match	probability was too low
Арх. Ант.- Сийск. м.	no match	probability was too low
Арх. Ант.-Сийск.	no match	probability was too low
Арх. Ант.-Сийск. м.	no match	probability was too low
Арх. Бог. Важ. м.	Арх.Бог.Важ.м.	95
Арх. Гамеля	Арх.Гамеля	95
Арх. Гамеля.	Арх.Гамеля	95
Арх. Карг. м.	Арх.Карг.м.	95
Арх. Красно- Холм. м.	no match	probability was too low
Арх. Красно-Холм. м.	no match	probability was too low
Арх. Красно-Холмск. м.	no match	probability was too low
Арх. КрасноХолм. м.	Арх.Краснохолм.м.	95
Арх. Краснохолм. м.	Арх.Краснохолм.м.	95
Арх. Курак.	Арх.Курак. I	95
Арх. Куракина	no match	probability was too low
Арх. М. Ж. м.	Арх.М.Ж.м.	95
Арх. М. Ж. м. № 3/80. Сделочная роспись .	no match	probability was too low
Арх. Мат.	Арх.мат. I	95
Арх. Мих.- Арх.	Арх.Мих.-Арх.м.	95
Арх. Мих.- Арх. м.	Арх.Мих.-Арх.м.	95
Арх. Мих.-Арх.	Арх.Мих.-Арх.м.	95
Арх. Мих.-Арх. м.	Арх.Мих.-Арх.м.	95
Арх. Мих.-Арх. м., Дух. П. Созонова.	no match	probability was too low
Арх. Мих.-Арх. м., оп.	no match	probability was too low
Арх. Мих.Арх. м., оп.	Арх.Мих.-Арх.м.	95
Арх. Ник. Корел. м.	Арх.Ник.Корел.м.	95
Арх. Ник.- Кор. м.	no match	probability was too low
Арх. Ник.-Кор. м.	no match	probability was too low
Арх. Ник.-Кор.м. (Кн. веревн.)	no match	probability was too low
Арх. Нов. м.	Арх.Нов.м.	95
Арх. Он.	Арх.Он.	95
Арх. Он. (Ар.)	Арх.Он. (Ар.)	96
Арх. Перм.	no match	probability was too low
Арх. Перт, м.	Арх.Перт.м.	95
Арх. Перт. м.	Арх.Перт.м.	95
Арх. Перт. м. Сказ.	no match	probability was too low
Арх. Покр. Сузд. м.	Арх.Покр.Сузд.м.	95
Арх. Солов, м.	Арх.Солов.м.	95
Арх. Солов. м.	Арх.Солов.м.	95
Арх. Солотч. м.	Арх.Солотч.м.	95
Арх. Солотч. м., оп.	no match	probability was too low
Арх. Стр.	Арх.Стр.I	95
Арх. Стр. I	Арх.Стр.I	95
Арх. Стр. Г	no match	probability was too low
Арх. Стр.1	no match	probability was too low
Арх. Строева	no match	probability was too low
Арх. Тол стого	no match	probability was too low
Арх. Толстого	Арх.Толстого	96
Арх. Толстого, JV	Арх.Толстого	95
Арх. Толстого.	Арх.Толстого	96
Арх. Черн. Пин. м.	Арх.Черн.Пин.м.	95
Арх. а.	no match	probability was too low
Арх. бум. Петр	no match	probability was too low
Арх. бум. Петра	Арх.бум.Петра, I	95
Арх. бум. Петра I	Арх.бум.Петра, I	95
Арх. бум. Петра, I	Арх.бум.Петра, I	95
Арх. ев.	no match	probability was too low
Арх. мат.	Арх.мат. I	95
Арх. наместн. Новг. архиеп.	Арх.наместн.Новг.архиеп.	95
Арх. наместн. Новг. архиеп.»	Арх.наместн.Новг.архиеп.	95
Арх. наместн. новг. архиеп.	Арх.наместн.Новг.архиеп.	95
Арх.Ант.-Сийск.м.	no match	probability was too low
Арх.Гамеля	Арх.Гамеля	100
Арх.Карг.м.	Арх.Карг.м.	100
Арх.Курак.	Арх.Курак. I	95
Арх.М.Ж.м.	Арх.М.Ж.м.	100
Арх.Он.	Арх.Он.	100
